name,material,Colors_1,Colors_2,Colors_3,Colors_4,Colors_5,Colors_6,preferred_employee_id
Каризма,lid,W,Y,M,K,,,
Балони,lid,W,Y,M,C,Refl. Blue,,
Кайсия за пиене,lid,W,Y,M,C,K,Blue 072,
Елемент 3.6% 400гр,lid,W,P485,Refl. Blue,,,,
Ягода с таблица,lid,W,Y,M,C,Blue 072,K,
Овче кисело мляко,lid,W,Y,M,C,Cool Grey 5,P354,
Млечен десерт Горски плод Ф75,lid,W,Y,M,C,P2745,,
Млечен десерт Кайсия Ф75,lid,W,Y,M,C,P2745,,
Елемент 2% 400гр,lid,W,C,Refl. Blue,,,,
Млечен десерт Ягода Ф75,lid,W,Y,M,C,P2745,,
Биволски 7%,lid,W,Y,M,K,,,
Кайсия с таблица,lid,W,Y,M,C,K,Blue 072,
2%,lid,W,Y,M,Refl. Blue,P Custom,,
Слабея с таблица,lid,W,Y,M,C,Blue 072,,
Табъ 3.6% с таблица,lid,W,Y,M,C,P Custom,,
Ягода за пиене,,W,Y,M,C,Refl. Blue,K,
Табу 2% с таблица,,W,Y,M,C,P Custom,,
Айран,,W,Y,M,C,Blue 072,,
Маскарпоне с ягода,,W,M,C,Refl. Blue,Blue 072,,
2% 400гр 2021,,W,Y,M,Refl. Blue,Cool Grey,P Custom,
Ягода,,W,Y,M,C,K,P Custom,
Кайсия,,W,Y,M,C,Purple,K,
Горски плод,,W,Y,M,C,Purple,K,
Маскарпоне с шоколад,,W,M,Y,C,Blue 072,,
Био Кисело 2% 200гр,,W,Y,C,Refl. Blue,P1788,P2727,
Круша,,W,Y,M,C,K,P Custom,
3.6% 400гр Промо цена,,W,Y,M,C,K,P Custom,
Заквасена сметана,,W,Y,M,C,Blue 072,P Custom,
Мляко без лактоза,,W,Y,M,C,P Custom,,
2% 500гр нови щанци,,W,Y,M,P Custom,Refl. Blue,Cool Grey,
4.5% 500гр нови щанци,,W,Y,M,C,Cool Grey,P Custom,
Мляко с пшеничен грис,,W,Y,M,C,Refl. Blue,,
Био прясно мляко 2% 250гр,,W,Y,C,Refl. Blue,P1788,P Custom,
3.6% 500гр нови щанци,,W,M,Y,C,Refl. Blue,Cool Grey 4,
Еньово биле 3.6%,,W,Y,M,C,K,,
Прясно мляко 2%,,W,Warm Red,C,Refl. Blue,,,
Горскки продове 2023,,W,Y,M,C,K,,
Круша 2023,,W,Y,M,C,K,,
Ягода 2023,,W,Y,M,C,K,,
Кайсия,,W,Y,M,C,K,,
Милком Македония Ф75,,W,P288,P Custom,,,,
Айхан Хана 3% 400гр,,W,C,P361,K,P485,Refl. Blue,
Милком Македния овче,,W,P288,C,P Custom,,,
КоКап Безконечно тирета,,various 1 colour each,,,,,,
Милком Македония Краве Кравjo,,W,P288,P Custom,,,,
Рима Био 2% 200гр,,W,P375,P Custom,,,,
Рима Био 2% 500гр,,W,P375,P Custom,,,,
Рима 3% 500гр,,W,K,P2200,,,,
Рима 3.6% 400гр,,W,K,M,,,,
Рима прясно мляко 250гр и 500гр 2% и 3.6%,,W,C,K,,,,
KFC КФС Ф61 Z73,,W,Cool Grey,P485,K,,,
